SECTORNUMBER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
1,15094.141,6945.784,0,0,0,93.873,0.001,1.187,3.147,4.817,3.941,0.001,0,0,890.175,5988.135,22721.116,2551.369,6853.349,43.539,0.001,0,1613.931,16488.464,8290.497,993.048,0.001,0,0,0.001,0.001,0.002,0.001,0.001,6066.005,55.764,0.002,0.003,0.001,0.004,0.001,0,0.001,0.001,0.001,0.004,0.002,0.001,0,0.006,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0,0.001,0.001,0.002,0.002,0.004,0.003,0.003,0.002,0,0.001,0.002,0.002,0,0.002,98.929,30.386,316.377,492.934,100.942,326.573,0.001,0,0,0.001,0.001,0.001,23.753,0.001,0,0.001,0.001,0.002,0.001,0.004,0.491,0.001,0,0.001,0,4.03,0,0.001,0.001,0.554,11.023,11.539,0.001,0.002,9.921,126.963,28.895,0.002,3.751,1.175,0,0.001,0.803,0,0,1046.677,0.954,0.001,16.17,74.509,0,0,0.001,0.001,0,0.001,0.001,0,0,0.001,0.001,0,0,0,0.001,0,0.001,0,11.155,6.954,14.384,13.135,432.625,0.001,0,0,0,0,0.001,0,0,8.631,0.001,2.557,23.363,191.314,0.001,442.429,88.603,993.127,0,0,0,88450.703
2,684.972,61317.685,0,0,0.001,593.328,0.001,0,0.001,0.001,0,0.001,0,0,0.006,1.159,0.003,54.826,212.902,44918.308,107371.629,384.155,782.11,3298.154,3.823,246.436,0.001,0,0,0.001,0.001,0.002,0.001,0.002,0.003,0.003,0.002,0.003,0.001,0.005,0.001,0,0.001,0.001,0.001,0.004,0.002,0.001,0,0.006,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0,0.001,0.001,0.002,0.002,0.004,0.003,0.003,0.002,0,0.001,0.002,0.002,0,0.003,10.402,841.748,0,115.96,35.1,0.004,0.001,0,0,0.001,0.001,0.001,16.627,0.001,0,0.001,0.002,0.002,0.001,0.005,0.001,0.001,0,0.001,0,0.002,0,0.001,0.001,0,0.001,0.001,0.001,0.002,0.002,997.946,0.001,0.002,34.912,0.001,0,0.001,0,0,11.379,0.001,0.001,0.001,5.276,47.787,0,0,0.001,0.001,0,0.001,0.001,0,0,0.001,0.001,0,0,0,0.001,0,0.001,0,113.253,49.521,305.918,18.424,3631.482,0.001,0,0,0,0,0.001,0,0,0,0.001,0.99,36.209,10.963,0.001,78.448,105.973,317.97,0,0,0,27165.271
3,0,0,140.546,660.207,0,1.112,0,11.688,0,0,0,0,0,0,0,0,0,12.661,0,0,0,0,0,197.03,49.131,0,20.599,2237.424,369.503,451.042,530.038,0,4.138,0,39.316,0,20.626,0,481.694,0.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.615,0,0,51.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.458,0,0,0,0,0,0,0,0,0,0.767,0,0,0,0.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.916,0,0,18.856,0,25.876,0,0,0,1728.519
4,0.001,0.001,704.014,3307.074,0,5.57,0,58.548,0,0,0,0,0,0,0.002,0,0.001,63.423,0,0.001,0,0,0,986.95,246.103,0.001,103.185,11207.592,1850.894,2259.337,2655.039,0.001,20.728,0,196.94,0.001,103.317,0.001,2412.876,1.188,0,0,0,0,0,0.001,0,0,0,0.002,0,0,0,0,0,0,0,0.001,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.001,98.256,0,0.001,256.492,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0.001,32.351,0,0.001,0,0,0,0,0,0,0,3.84,0,0,0,4.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,89.746,0,0,94.453,0,129.615,0,0,0,-1623.192
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,269.152,0,0,379.121,0,778.234,3852.745,0,0,0.001,0,0,0,0,0,0,0,0,0,6.11,0,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0.001,0,507.202,0,0.001,0,0,0,0,0,0,0.766,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.308,0,0,0,0,0,0,0,0,0,0,0,0,37.436,8.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.714,15.276,123.022,229.576,4091.36,0,0,0,0,0,0,0,0,20.121,0,51.066,23.35,5.323,0,69.406,148.622,97.448,0,0,0,-1948.799
6,21098.185,4221.705,483.745,2272.367,11.801,0,0,0,0,0,0,0,0,0,0.002,0,0.001,0,0,0,0,0,0,0.001,0.001,0.001,0,0,0,0,0,0.001,0,0,0.001,0.001,0,0.001,0,0.001,0,0,0,0,0,0.001,0,0,0,0.002,0,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0.001,0.001,0.001,0,0,0,0,0.001,0,0.001,0.001,0.001,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,299.187,0,0,31.437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.281,84.151,0,0,0,3744.456,0,0,0,194.275
7,0.001,0.001,0,0,0,0,48695.816,0,0,0,2.185,7150.586,4724.359,254.686,0.002,0,0.001,0,0,0.001,0,0,0,0.001,0.001,0.001,0,1.168,0,2.632,0,0.001,0,289043.547,3600.395,9.741,3.401,0.001,0,0.001,0,0,2.421,0,0,0.001,0,0,0,0.002,0,0,0,0,0,0,0,0.001,0,0,0,0,0.001,0.001,0.001,0.001,0,0,0,0,0.001,0,0.001,0.001,2.591,3.888,0,1.45,7.728,0,0,0,0,0,17.824,0,0,77.692,3.384,0,1.412,2.964,15.205,0,0,0,0,0,44.181,0,0,0,0,4.071,1.475,0,0.001,0,1.274,0,0.001,3.123,0,0,0,0,0,0,0,0,2.795,0,7.483,156.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.156,27.921,0,0,0,0,0,0,0,0,1.325,0,0,0,1.062,38.863,808.677,0,0,0,19006.7,0,0,0,87864.422
8,0,209.731,0,0,0,0,85.763,535.45,27.236,24.238,3.333,1449.596,0,0,0.001,28.12,83.801,70.862,74.58,77.567,66.801,20.756,61.544,66.604,122.086,17.667,0,1.676,1.317,2.361,352.474,98.119,0,563.966,120.059,9.086,4.879,49.931,20.278,477.966,775.966,18.187,68.415,33.664,42.007,1.306,1.242,1.175,1.322,0.001,0,0,0,0,0,0,0,0,0,0.723,0,0.438,1.553,8.757,2.417,8.87,5.796,0.428,1.536,0,2.678,0,0,0,6.503,0,0,0,0,0,0,0,0,0,0,0,0,1.115,0,0,0,0,0.518,0,0,0,0,0,0,0,0,0,0,0,8.467,0,0,0,37.473,0,0,20.168,0,2.451,0,0,0,0,0,0,7.019,6.096,1.15,0,0,0,0,0,0,0,0,10.883,4.501,0.637,0.332,1.308,0,0,0,0,0.837,0,1.244,2.862,6.349,484.433,3.282,0,1.168,0,0,0,2.851,0,0,0,3.43,13.941,1937.011,0,252.955,134.17,2096.879,0,0,0,5214.024
9,0.001,0.001,0,0,0,0,0.001,0,3922.509,0,0,0,0,0,0.004,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.002,0.002,0.001,0.001,0,0,0.001,0.001,0.001,0,26.481,2117.54,0.002,148.371,0.002,0.001,122.773,5225.833,160.874,318.89,3615.189,0.001,114.274,0.001,0,476.133,78.114,0.001,30.707,0.001,0.001,3.936,3.188,0.001,0.002,0,0,0.001,70.115,2.345,0.002,0.002,44.216,1.945,0,0.001,0.001,0.001,0,37.818,21.942,11.213,0,0,0,2.093,0,0,0,0,0,0.001,0,0,0,0.001,40.069,293.441,99.469,1231.737,0,0.001,0,0,0,0.001,0,0.001,0.001,0,0,520.62,0,0.001,0.001,409.548,0,0.001,5.072,0,0,0,0,0,457.585,941.788,0,90.784,0,0,391.143,0,0,0,0,0,0,0,6.843,32.114,0,0,0,324.24,8.468,21.438,4.414,0,4.462,0,1259.559,169.083,40.932,14.859,108.331,58.748,0,1030.291,0,0,21.041,0,25.654,204.744,42.066,3.726,0.001,0.001,0,0.001,0,0,0,5620.636
10,974.004,125.078,0,0,0,0,0.001,138.36,0,1116.127,40.184,663.191,14.966,164.646,18960.848,260.143,0.001,0,0.001,0.001,0,0,0.001,0.002,0.002,0.001,0.001,0,0,0.001,244.525,0.001,0,1677.584,1380.465,0.002,571.349,0.002,0.001,8385.52,191.361,0,0.001,0.001,284.807,5.736,0.001,0,0,1.028,0.001,7.19,0.001,0.001,2.547,0,0.001,0.002,0,0,25.037,0.001,0.001,0.002,0.002,0.002,122.579,0,0.001,0.001,7.835,0,39.538,0.001,0.003,0,0,0,0.002,0,101.827,0,7.811,1.63,0.001,2.678,0,0,0.001,0.001,26.692,6.225,3.033,0,0.001,0,0,0,25.257,0,0.001,0.001,0,0,297.507,0,0.001,0.001,275.673,0,0.001,14.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.987,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,40.822,269.432,0.001,0.001,0,1498.814,3.139,0,0,-2014.413
11,0,0,0,0,0,0,2290.961,7.414,15.316,39.079,96.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.696,0,0,0.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.352,0,0,0,0,0,0,0,0,120639.88
12,1543.041,2049.259,1.277,5.999,11.539,101.018,7412.346,543.359,1233.799,1261.214,338.132,12661.679,123.821,289.505,10517.865,422.217,905.546,529.743,863.918,1081.344,1271.291,117.701,931.058,919.519,1931.392,663.584,26.922,679.875,455.122,635.447,2748.979,1590.273,1007.591,4261.357,6241.655,1800.666,710.744,3747.954,684.434,3184.87,2866.689,346.709,1004.552,702.524,924.645,1312.282,785.167,979.333,698.957,1417.687,158.124,344.605,263.24,20.008,88.548,0,1750.303,311.691,2.51,51.028,110.126,170.642,374.479,1059.148,364.294,2235.209,1394.235,50.374,327.746,123.287,465.267,39.367,518.865,419.365,16873.227,4077.176,10879.917,11132.151,29132.265,392.935,25.409,72.396,5068.404,365.233,1260.258,991.904,353.562,2110.959,1985.828,949.846,5008.33,4000.385,2770.841,3147.562,1474.259,1.758,318.369,310.033,48086.138,242.051,974.613,289.611,593.154,726.983,1104.86,245.123,926.635,2724.457,2296.312,943.2,970.448,7412.953,669.913,195.833,550.916,551.558,161.34,172.898,1145.923,516.923,889.492,318.579,2487.985,80.472,1870.119,597.622,768.514,1724.155,239.333,284.335,149.065,9851.715,3897.501,705.979,230.562,691.488,86.63,386.721,375.849,110.829,316.061,720.483,462.573,2964.978,5699.526,25751.96,2031.212,88.433,228.887,156.314,1043.232,63.427,752.422,518.713,60.541,127.341,1106.424,36.431,3102.133,154.239,6724.844,576.896,3360.358,0,0,0,222755.453
13,858.328,622.23,0.359,1.687,4.327,8.481,721.197,7.641,31.29,95.402,20.168,70.468,1.366,49.823,294.57,69.538,205.281,175.192,181.914,187.048,164.252,49.328,149.625,161.868,252.94,59.632,3.561,62.811,45.488,65.24,595.469,165.346,59.205,1348.133,1959.874,86.284,40.636,226.139,93.135,519.681,219.092,19.441,75.098,36.79,45.633,220.618,113.144,109.363,172.283,175.831,16.57,27.838,27.485,1.185,1.277,0,73.915,45.018,0,10.641,9.407,20.613,59.38,202.257,63.95,208.595,151.448,10.074,39.128,26.199,69.852,4.429,31.173,54.559,256.686,211.136,32.824,44.326,234.257,77.355,32.981,131.254,989.749,26.191,437.665,594.214,105.835,575.652,3.569,13.004,37.215,15.626,36.327,309.466,60.372,359.423,27.132,47.559,6804.623,410.961,136.38,43.247,5.828,42.93,21.778,4.634,4.137,4.967,13.433,7.234,17.927,130.093,72.067,45.295,19.167,12.663,8.643,25.761,208.71,28.407,297.682,718.256,739.441,71.666,18.582,1.755,6.65,18.127,0,1.974,13.71,157.294,90.215,16.858,3.9,30.756,3.701,4.124,7.83,2.15,9.842,15.21,9.749,44.865,150.41,626.691,80.401,2.01,18.31,4.702,19.407,3.398,54.473,14.022,80.716,1.666,54.895,40.968,1427.725,870.217,7976.154,1102.836,3013.831,0,0,0,49646.561
