SECTORNUMBER,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,149784.2483,149176.7065,151419.9679,155998.5516,150878.3559,145792.1139,156370.3995,164237.581,163390.68,161194.7217,162341.2479,152248.1539,166232.2208,171121.1251,156036.8185,155607.4723,169314.8268,175487.727,173913.2452,189950.0032,188237.4705,181644.1175,172549.2556,180681.1786,177531.617,163186.43,167094.9553
2,149636.3334,151731.5811,156360.8966,158174.6132,159921.2522,163119.4505,162892.679,165727.9919,170299.8008,174303.1904,176997.8998,176528.016,174009.063,169761.7548,176136.9142,181555.9817,178800.5279,178397.8666,187102.4973,193727.9626,202952.428,205857.9074,209320.1858,212493.6867,211700.2622,209426.9201,214109.2685
3,3506.492223,4118.951013,4739.099953,3946.896913,4047.134147,4290.299517,4345.844391,4580.999791,4618.309167,4539.008339,3335.620497,2843.328796,2814.707638,2776.554453,2553.134825,1949.377588,2584.15285,3471.109302,3842.669102,4179.496979,4502.754671,4603.733434,4440.863494,4901.741739,5626.276318,5648.007462,5641.85126
4,20664.8654,24274.27835,27929.01179,23260.30924,23851.0389,25284.08917,25611.43264,26997.27763,27217.15356,26749.80876,19657.86439,17527.07608,18241.44653,19048.31779,18703.31588,15391.05049,16371.85453,18449.39246,17848.88592,17234.86589,16822.04814,17199.29936,16590.82609,18312.6423,21019.46435,21100.65068,20982.27524
5,9986.573139,10372.37305,9600.186053,8870.888422,10068.34241,9621.865078,10790.54158,11160.43704,9937.672638,9137.288555,9016.747548,8856.126095,9321.790259,9648.589218,10867.80969,9090.624848,9122.917062,8629.145673,8473.740016,8731.952919,9239.101769,8372.094824,8373.944267,7620.313901,8274.110549,8108.790919,8086.775078
6,26353.38609,27334.60961,27750.51989,24093.81084,25560.26756,25489.8182,26436.31073,27333.97903,27582.17889,27992.24927,29445.36421,31134.5294,29327.96684,28570.80266,29038.32905,31329.61459,31057.01179,34029.56948,33923.88078,29802.58272,29718.0964,29914.39548,28854.79862,29523.72222,30256.65325,31023.36331,30868.30013
7,150523.4412,142794.3414,136931.0505,141800.9597,142001.9259,131878.0084,136609.1265,136575.6721,137325.0002,136102.1769,140628.9011,149197.2684,155026.5834,161202.197,171354.7137,191747.1578,206509.712,227328.5885,223190.6153,208548.2636,212664.0024,252227.6167,278309.7628,253477.5892,278497.0401,301768.1508,305517.0557
8,52296.42617,51536.95278,46427.89247,44482.81088,44921.4131,42055.32405,41860.85819,44487.27281,46791.03923,47358.39146,47354.73433,47138.49812,42179.44971,41471.00859,43869.22047,39820.97262,38236.48377,38069.18688,32256.5537,26378.70534,27800.70851,28099.91642,26133.59165,19985.73946,22207.56896,25395.58037,27020.62653
9,29264.26716,30673.59122,28968.44817,29563.45049,27213.54871,25709.91141,24548.1643,25184.67662,26461.50416,25396.51693,23920.74233,25134.72861,24206.28933,25143.52872,25172.90383,25517.83735,25545.25637,26708.76804,26179.92666,27455.95768,27315.39901,25963.44151,24839.65452,24119.39496,25787.53294,25513.10579,26976.33284
10,32391.18194,34022.12001,34640.95095,34230.32154,34020.50993,33933.32091,34863.61891,36720.79245,38904.49159,40269.53822,35502.43197,33333.0308,28131.9517,28289.25339,28484.66781,27935.41877,26938.54811,29236.83737,28686.61124,27979.9388,29359.96477,30392.94343,29958.28352,28283.08998,29963.08007,31140.59491,33067.60403
