SECTORNUMBER,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,155926.5302,155647.5373,157832.4327,161056.8443,155511.9442,150412.5806,161253.9831,169225.9987,167645.502,165243.7862,165650.1588,155169.5333,170034.7783,174490.3783,158987.2052,158547.7403,172635.7202,178900.7159,177992.4152,194030.6002,191305.4837,186433.2643,177472.4431,185791.7975,182246.4218,167032.8671,171020.5613
2,153995.2295,156380.0756,161119.8282,161924.4152,163574.9686,166961.3922,166529.1455,169234.4019,173273.1359,177277.5422,179463.2294,178955.0662,176957.8462,172320.109,178915.4478,184613.8907,181558.7449,180747.3309,189773.2274,195910.3674,204223.5163,208692.2885,212525.9711,215805.7449,214796.5461,212095.7766,216892.5318
3,1964.220362,2218.117702,2702.485715,2525.813538,3234.807377,3701.606228,3215.960788,5768.562207,3279.278318,4985.737581,3032.068358,3238.668097,3503.505651,3373.260758,2474.313997,1822.072565,2972.062808,4582.894521,3658.34809,4525.26929,3970.274133,2361.746677,3319.702413,4951.498834,5043.983873,4160.80837,4145.244239
4,19679.34614,23437.88743,27492.52032,22533.82946,22816.19783,24134.39934,24664.04479,23534.44365,26144.72757,24127.87733,17868.93582,15431.33564,15549.49816,16682.74325,17271.68995,14385.93068,14707.94073,15775.74845,15755.3011,14265.73447,14832.72963,16442.25712,14804.3013,15613.50541,19094.63886,19545.19636,19472.0846
5,9934.258033,10298,9512,8794.223891,10014,9579,10706,11033,9745,8954.18733,8773,8687,9130,9464,10718,8946,8960,8412.85078,8214.84991,8452,8929,8088.000006,8109.000037,7378.000055,8055.872555,7840.999957,7821.626098
6,19052.49487,19528,20079,18076.46021,20139,19875,20291,20908,21412,21955.45933,23796,25542,22459,22051,23142,25563,25414,28490.49466,28211.48456,24782,25650,25232.00008,24243.00018,25128.00018,26063.58753,26434,26317.49963
7,174570,170041,166026,172691,179238,168063,168327,162333,161230,162455,164537,174377,189574,196889,216593,240306,255993,279017,266983,249321,253994,299083.0068,330492.0098,302669.0044,330599.0023,355895.999,359357.8273
8,56792.99257,56178,51084,50670,51590.93647,47569,47798,49452,52499,56052.55593,57493,57111,51449.49027,49582.43997,54191,49383,47365,47949,43312,35227,36917.36246,37504.00006,36018.0001,27608.71322,29887.00004,34055.49635,35783.35109
9,31193.02936,32559.65058,30834.98654,32101.5693,29595.7678,27866.42134,26639.57069,27155.47541,28746.70581,28663.04476,27271.28124,28236.73637,27067.60933,27690.51898,28109.25026,28369.32193,28106.53555,29315.56552,29261.92254,30650.50384,29553.29016,28221.05385,27405.3993,27047.54839,28419.90007,27598.18755,29108.32256
10,35694.37688,37413.40625,40249.47563,41315.25943,40968.8623,40730.92055,41876.28447,43608.57454,45967.81804,50319.71681,45555.14325,42951.18838,35734.74735,35348.28164,37351.04607,36576.40765,34920.37672,37317.47793,38017.03409,36619.82108,35381.34738,36724.92572,37452.3638,36440.52443,37212.23507,37121.47513,39154.33529
11,29603.41702,29860.72569,24586.62937,30780.49433,44245.55849,37438.07515,43441.67981,59037.74517,79176.20113,105953.5437,111483.8094,122319.984,84729.28042,93911.06896,106228.4113,131212.4902,130938.0593,166234.163,135802.043,74611.84131,106929,134817.5262,136394.1227,81172.57502,79844.03069,80132.57259,80840.34694
12,303834.2974,323408.3763,397358.703,435209.8242,484137.1303,333919.5037,314700.6282,307077.0349,333502.4708,328008.2912,350485.5816,380381.7957,345007.8624,394485.1708,380118.5849,385342.6014,387449.9005,391498.3112,402927.5822,399467.6669,389397.1692,404049.8338,399189.2155,389294.9346,399952.9796,410346.8903,410826.433
13,105794.4037,105682.3945,114436,129473.3469,132480.2967,134096,128880.6245,124263.3533,126354.6964,115788,117482.2601,125293.7613,103369.5264,104786,99686,90848.19682,93730,95399.1832,79618.83828,75492.32092,69553.03176,77035.66149,78780.6315,76938.41945,77496.71842,81890.61199,79891.5302
14,13923.05313,14366.05363,14977,15334.04108,15630.035,16056,16402.9522,16232.04614,16246.96097,16901,16976.03759,17134.96736,16905.92254,16557,16489,15576.03375,15369,15760.03026,15526.96846,15261.06488,15136.8404,15337.68736,15080.66095,15313.5511,15151.57782,14742.59339,14914.92009
15,1396461.34,1487792.581,1547461.349,1611198.05,1621831.085,1601743.116,1655966.482,1723414.227,1767875.264,1727580.324,1634956.529,1512965.439,1312452.72,1214844.655,1184537.63,1217846.145,1277883.729,1349520.59,1466849.341,1559925.819,1577966,1601316.793,1614900.88,1643628.839,1669293.352,1564228.928,1606335.89
16,40732.62864,44503.40674,43770.40076,42628.70159,45285.1322,45930.71772,54698.67364,46955.42306,50730.0324,50619.05122,49624.047,49656.65317,52315.56728,50884.2149,49010.31353,50128.76182,51690.99191,53304.22445,54984.90708,55028.31748,54980,55615.94585,53714.86207,56048.24831,54985.68713,49153.64358,49613.06703
