SECTORNUMBER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
1,188013.411,0.002400772,319.4287735,1193.368637,1.000372188,1070.787249,5.99898E-08,1.20001E-08,2.39978E-08,2.3989E-08,5.99911E-08,1.99931E-08,1.99941E-08,2.0001E-08,5.99883E-08,4.1348E-09,1.03438E-08,2.06911E-09,4.1385E-09,8.27312E-09,4.13611E-09,2.06913E-09,4.13791E-09,1.03417E-08,1.0344E-08,5.99888E-08,5.99995E-08,0.000599791,0.000599522,14.99178773,2.25074E-08,3.74811E-08,5.99837E-08,5.99865E-08,3.47206E-08,1.26311E-08,1.26359E-08,4.1978E-08,1.80132E-08,6.00253E-08,6.66708E-09,6.66608E-09,1.33264E-08,1.99797E-08,1.33325E-08,3.59999E-08,1.49931E-08,5.9985E-09,2.99495E-09,3.642E-08,6.41867E-09,8.56866E-09,8.57251E-09,9.00045E-09,8.99793E-09,2.9997E-09,8.99936E-09,2.70028E-08,2.9909E-09,8.59372E-09,8.60698E-09,1.71481E-08,2.56489E-08,1.28509E-08,1.71458E-08,2.99958E-08,2.72881E-08,5.43202E-09,5.46137E-09,2.18104E-08,5.24448E-08,7.52476E-09,2.72557E-08,3.27238E-08,5.99877E-08,6.35427E-08,6.13092E-08,6.40211E-08,5.76913E-08,5.99934E-08,5.99393E-08,6.00101E-08,5.99955E-08,5.99853E-08,5.9969E-08,2.99934E-08,3.00011E-08,5.99945E-08,1.19975E-08,6.00038E-08,3.59941E-08,1.99985E-08,1.11977E-07,5.99915E-08,5.99931E-08,5.99903E-08,3.99984E-08,2.00004E-08,9.01152E-08,1.49999E-08,3.00053E-08,1.49862E-08,5.9991E-08,5.99898E-09,5.99962E-09,5.99662E-09,5.99916E-08,1.19984E-08,5.99941E-09,5.99908E-09,1.79971E-08,5.99908E-08,7.49965E-09,7.49968E-09,7.49884E-09,7.49938E-09,7.49444E-09,7.49845E-09,7.50062E-09,7.49921E-09,5.999E-08,1.99972E-08,1.99973E-08,1.99928E-08,8.56567E-09,8.59064E-09,8.56402E-09,8.55969E-09,8.59308E-09,8.56315E-09,8.56216E-09,5.99914E-08,6.00024E-08,1.99935E-08,1.99969E-08,1.99974E-08,1.19994E-08,1.19981E-08,1.19976E-08,1.19957E-08,1.19907E-08,0.000600457,0.000600076,692.4910078,5.99895E-08,5.99883E-08,4.99792E-09,4.99884E-09,4.99912E-09,4.99909E-09,5.00528E-09,4.99985E-09,4.99882E-09,4.9989E-09,5.00167E-09,4.99829E-09,4.99885E-09,2.20756E-09,1.49975E-07,2.99893E-08,1.99951E-08,1.99975E-08,7.99852E-08,3.01489E-08,5.99869E-08,5.99896E-08
2,0.002399244,202423.2426,23.43457448,87.55030397,0.000399727,1024.200207,3.99804E-08,7.99751E-09,1.59934E-08,1.59875E-08,3.99813E-08,1.33245E-08,1.33251E-08,1.33297E-08,3.99795E-08,2.75565E-09,6.89368E-09,1.37897E-09,2.75812E-09,5.51365E-09,2.75653E-09,1.37898E-09,2.75773E-09,6.89227E-09,6.8938E-09,3.99797E-08,3.99869E-08,0.000399733,0.000399554,0.000799111,1.50001E-08,2.49794E-08,3.99764E-08,3.99782E-08,2.31397E-08,8.41804E-09,8.42122E-09,2.79764E-08,1.2005E-08,4.00041E-08,4.4433E-09,4.44264E-09,8.8814E-09,1.33156E-08,8.88548E-09,2.39923E-08,9.99224E-09,3.99772E-09,1.99599E-09,2.42722E-08,4.27775E-09,5.71062E-09,5.71318E-09,5.99838E-09,5.99671E-09,1.99916E-09,5.99766E-09,1.79961E-08,1.9933E-09,5.72732E-09,5.73616E-09,1.14284E-08,1.70938E-08,8.56452E-09,1.14269E-08,1.99908E-08,1.81863E-08,3.62019E-09,3.63975E-09,1.45356E-08,3.4952E-08,5.0149E-09,1.81646E-08,2.18089E-08,3.9979E-08,4.23483E-08,4.08597E-08,4.26671E-08,3.84486E-08,3.99828E-08,3.99468E-08,3.9994E-08,3.99842E-08,3.99774E-08,3.99666E-08,1.99892E-08,1.99943E-08,3.99836E-08,7.99581E-09,3.99898E-08,2.39884E-08,1.33281E-08,7.46278E-08,3.99815E-08,3.99826E-08,3.99808E-08,2.66571E-08,1.33293E-08,6.00576E-08,9.99674E-09,1.99971E-08,9.98762E-09,3.99813E-08,3.99804E-09,3.99847E-09,3.99647E-09,3.99817E-08,7.99638E-09,3.99833E-09,3.99811E-09,1.19942E-08,3.99811E-08,4.99817E-09,4.99819E-09,4.99763E-09,4.99799E-09,4.9947E-09,4.99737E-09,4.99882E-09,4.99787E-09,3.99806E-08,1.33272E-08,1.33273E-08,1.33243E-08,5.70863E-09,5.72526E-09,5.70753E-09,5.70464E-09,5.72689E-09,5.70694E-09,5.70628E-09,3.99815E-08,3.99888E-08,1.33247E-08,1.3327E-08,1.33274E-08,7.99704E-09,7.99618E-09,7.99587E-09,7.99458E-09,7.99122E-09,0.000400177,0.000399923,665.0834381,3.99802E-08,3.99794E-08,3.33088E-09,3.3315E-09,3.33168E-09,3.33166E-09,3.33579E-09,3.33217E-09,3.33148E-09,3.33154E-09,3.33338E-09,3.33113E-09,3.3315E-09,1.47124E-09,9.99517E-08,1.99865E-08,1.33258E-08,1.33274E-08,5.33065E-08,2.00928E-08,3.99785E-08,3.99803E-08
3,5.911952837,8.45046E-05,814.0983992,3041.42763,2.11147E-05,2.11118E-05,7.03626E-09,1.4075E-09,2.81472E-09,2.81369E-09,7.03642E-09,2.34501E-09,2.34513E-09,2.34593E-09,108.8360245,4.84974E-10,1.21324E-09,2.42688E-10,4.85409E-10,9.70362E-10,4.85128E-10,2.4269E-10,4.8534E-10,1.21299E-09,1.21326E-09,7.03614E-09,7.03739E-09,1.75954E-09,1.75875E-09,3.51752E-09,2.63992E-09,4.39619E-09,7.03555E-09,7.03587E-09,4.07242E-09,1.48151E-09,1.48207E-09,4.92364E-09,2.11279E-09,7.04043E-09,7.81989E-10,7.81871E-10,1.56306E-09,2.34344E-09,1.56378E-09,4.22246E-09,1.75856E-09,7.0357E-10,3.51281E-10,4.27174E-09,7.52853E-10,1.00503E-09,1.00548E-09,1.05567E-09,1.05538E-09,3.51837E-10,1.05554E-09,3.16719E-09,3.50806E-10,1.00797E-09,1.00952E-09,2.01132E-09,3.00839E-09,1.50729E-09,2.01105E-09,3.51823E-09,3.20065E-09,6.37127E-10,6.40569E-10,2.55816E-09,6.1513E-09,8.82586E-10,3.19684E-09,3.8382E-09,7.03602E-09,7.45298E-09,7.19101E-09,7.50909E-09,6.76667E-09,7.03668E-09,7.03034E-09,7.03865E-09,7.03693E-09,7.03573E-09,7.03382E-09,3.51796E-09,3.51886E-09,7.03681E-09,1.4072E-09,7.03791E-09,4.22179E-09,2.34565E-09,1.31339E-08,7.03646E-09,7.03665E-09,7.03632E-09,4.69146E-09,2.34587E-09,1.05697E-08,1.75935E-09,3.51935E-09,1.75775E-09,7.03641E-09,7.03626E-10,7.03701E-10,7.0335E-10,0,1.40731E-09,7.03676E-10,7.03638E-10,2.1109E-09,7.03638E-09,8.79642E-10,8.79645E-10,8.79547E-10,8.79609E-10,8.7903E-10,8.79501E-10,8.79755E-10,8.79589E-10,7.03629E-09,2.34549E-09,2.3455E-09,2.34498E-09,1.00468E-09,1.0076E-09,1.00448E-09,1.00397E-09,1.00789E-09,1.00438E-09,1.00426E-09,7.03645E-09,7.03774E-09,2.34506E-09,2.34545E-09,2.34552E-09,1.40742E-09,1.40727E-09,1.40722E-09,1.40699E-09,1.4064E-09,2.34616E-09,2.34467E-09,2.34533E-09,7.03623E-09,7.03609E-09,5.86211E-10,5.86319E-10,5.86351E-10,5.86349E-10,5.87074E-10,5.86438E-10,5.86317E-10,5.86326E-10,5.86651E-10,5.86254E-10,5.8632E-10,2.58927E-10,1.75908E-08,3.51748E-09,2.34525E-09,2.34553E-09,9.38155E-09,3.53619E-09,7.03592E-09,7.03623E-09
4,22.08673635,0.000315705,3041.42763,11362.60928,7.88835E-05,7.88727E-05,2.62871E-08,5.25836E-09,1.05157E-08,1.05118E-08,2.62877E-08,8.76082E-09,8.76127E-09,8.76429E-09,406.6055066,1.81184E-09,4.53259E-09,9.06669E-10,1.81346E-09,3.62522E-09,1.81241E-09,9.06676E-10,1.8132E-09,4.53166E-09,4.53267E-09,2.62867E-08,2.62913E-08,6.57356E-09,6.5706E-09,1.31413E-08,9.86259E-09,1.64239E-08,2.62844E-08,2.62856E-08,1.52143E-08,5.53486E-09,5.53695E-09,1.83945E-08,7.89325E-09,2.63027E-08,2.92147E-09,2.92103E-09,5.83951E-09,8.75498E-09,5.8422E-09,1.57749E-08,6.56989E-09,2.6285E-09,1.31236E-09,1.5959E-08,2.81262E-09,3.75473E-09,3.75641E-09,3.94393E-09,3.94283E-09,1.31445E-09,3.94345E-09,1.18324E-08,1.31059E-09,3.76571E-09,3.77152E-09,7.51418E-09,1.12392E-08,5.63116E-09,7.51318E-09,1.31439E-08,1.19575E-08,2.38027E-09,2.39313E-09,9.55715E-09,2.29809E-08,3.29729E-09,1.19432E-08,1.43393E-08,2.62862E-08,2.78439E-08,2.68652E-08,2.80536E-08,2.52799E-08,2.62887E-08,2.6265E-08,2.6296E-08,2.62896E-08,2.62851E-08,2.6278E-08,1.31429E-08,1.31463E-08,2.62892E-08,5.25724E-09,2.62932E-08,1.57724E-08,8.76321E-09,4.90677E-08,2.62878E-08,2.62885E-08,2.62873E-08,1.7527E-08,8.76403E-09,3.94878E-08,6.57285E-09,1.31481E-08,6.56685E-09,2.62876E-08,2.62871E-09,2.62899E-09,2.62768E-09,0,5.25762E-09,2.6289E-09,2.62875E-09,7.8862E-09,2.62875E-08,3.28629E-09,3.28631E-09,3.28594E-09,3.28617E-09,3.28401E-09,3.28577E-09,3.28672E-09,3.2861E-09,2.62872E-08,8.76264E-09,8.76268E-09,8.76071E-09,3.75342E-09,3.76436E-09,3.75269E-09,3.75079E-09,3.76542E-09,3.75231E-09,3.75188E-09,2.62878E-08,2.62926E-08,8.761E-09,8.76248E-09,8.76272E-09,5.25805E-09,5.25748E-09,5.25728E-09,5.25643E-09,5.25422E-09,8.76513E-09,8.75958E-09,8.76202E-09,2.6287E-08,2.62864E-08,2.19005E-09,2.19046E-09,2.19058E-09,2.19057E-09,2.19328E-09,2.1909E-09,2.19045E-09,2.19048E-09,2.1917E-09,2.19021E-09,2.19046E-09,9.67336E-10,6.57181E-08,1.31411E-08,8.76171E-09,8.76278E-09,3.5049E-08,1.3211E-08,2.62858E-08,2.6287E-08
5,0.000600133,0.000400216,2.1115E-05,7.88844E-05,8928.997697,9.99862E-05,3.33239E-08,6.66597E-09,1.33306E-08,1.33257E-08,3.33247E-08,1.1106E-08,1.11066E-08,1.11104E-08,0.001100864,2.29685E-09,5.74593E-09,1.14938E-09,2.29891E-09,4.59566E-09,2.29758E-09,1.14939E-09,2.29858E-09,5.74475E-09,5.74603E-09,3.33234E-08,3.33293E-08,8.33324E-09,8.3295E-09,1.66591E-08,1.25027E-08,2.08205E-08,3.33205E-08,3.33221E-08,1.92871E-08,7.01649E-09,7.01914E-09,2.33185E-08,1.00062E-08,3.33437E-08,3.70352E-09,3.70296E-09,7.4027E-09,1.10986E-08,7.4061E-09,1.99977E-08,8.32859E-09,3.33213E-09,1.66367E-09,2.02311E-08,3.56553E-09,4.75983E-09,4.76197E-09,4.99969E-09,4.99829E-09,1.66631E-09,4.99908E-09,1.49999E-08,1.66142E-09,4.77375E-09,4.78112E-09,9.52567E-09,1.42478E-08,7.13858E-09,9.5244E-09,1.66624E-08,1.51584E-08,3.01745E-09,3.03375E-09,1.21155E-08,2.91327E-08,4.17995E-09,1.51403E-08,1.81778E-08,3.33228E-08,3.52975E-08,3.40568E-08,3.55633E-08,3.20471E-08,3.33259E-08,3.32959E-08,3.33352E-08,3.33271E-08,3.33214E-08,3.33124E-08,1.66611E-08,1.66654E-08,3.33265E-08,6.66455E-09,3.33317E-08,1.99945E-08,1.1109E-08,6.22027E-08,3.33249E-08,3.33258E-08,3.33242E-08,2.22189E-08,1.11101E-08,5.00584E-08,8.33235E-09,1.66677E-08,8.32474E-09,3.33246E-08,3.33239E-09,3.33275E-09,3.33108E-09,0,6.66503E-09,3.33263E-09,3.33245E-09,9.99727E-09,3.33245E-08,4.16601E-09,4.16602E-09,4.16556E-09,4.16585E-09,4.16311E-09,4.16534E-09,4.16654E-09,4.16576E-09,3.3324E-08,1.11083E-08,1.11084E-08,1.11059E-08,4.75817E-09,4.77204E-09,4.75726E-09,4.75485E-09,4.7734E-09,4.75677E-09,4.75622E-09,3.33248E-08,3.33309E-08,1.11062E-08,1.11081E-08,1.11084E-08,6.66558E-09,6.66487E-09,6.66461E-09,6.66353E-09,6.66073E-09,1.11115E-08,1.11044E-08,1.11075E-08,3.33238E-08,3.33231E-08,2.77631E-09,2.77682E-09,2.77698E-09,2.77696E-09,2.7804E-09,2.77739E-09,2.77681E-09,2.77686E-09,2.77839E-09,2.77652E-09,2.77683E-09,1.22628E-09,8.33103E-08,1.66589E-08,1.11071E-08,1.11085E-08,4.44313E-08,1.67475E-08,3.33223E-08,3.33238E-08
6,0.000600208,0.000400266,2.11176E-05,7.88942E-05,0.000100012,25327.67654,3.33281E-08,6.66681E-09,1.33323E-08,1.33274E-08,3.33288E-08,1.11074E-08,1.1108E-08,1.11118E-08,322.322261,2.29714E-09,5.74665E-09,1.14952E-09,2.2992E-09,4.59624E-09,2.29787E-09,1.14953E-09,2.29887E-09,5.74546E-09,5.74675E-09,3.33275E-08,3.33335E-08,8.33428E-09,8.33054E-09,1.66612E-08,1.25043E-08,2.08231E-08,3.33247E-08,3.33262E-08,1.92895E-08,7.01737E-09,7.02002E-09,2.33214E-08,1.00075E-08,3.33478E-08,3.70398E-09,3.70343E-09,7.40363E-09,1.11E-08,7.40703E-09,2.00002E-08,8.32963E-09,3.33254E-09,1.66388E-09,2.02336E-08,3.56598E-09,4.76043E-09,4.76257E-09,5.00031E-09,4.99892E-09,1.66652E-09,4.99971E-09,1.50018E-08,1.66163E-09,4.77435E-09,4.78172E-09,9.52686E-09,1.42496E-08,7.13947E-09,9.52559E-09,1.66645E-08,1.51603E-08,3.01783E-09,3.03413E-09,1.2117E-08,2.91363E-08,4.18047E-09,1.51422E-08,1.81801E-08,3.33269E-08,3.53019E-08,3.40611E-08,3.55677E-08,3.20511E-08,3.33301E-08,3.33E-08,3.33394E-08,3.33313E-08,3.33256E-08,3.33165E-08,1.66632E-08,1.66675E-08,3.33307E-08,6.66539E-09,3.33359E-08,1.9997E-08,1.11104E-08,6.22105E-08,3.3329E-08,3.33299E-08,3.33284E-08,2.22216E-08,1.11115E-08,5.00646E-08,8.33339E-09,1.66698E-08,8.32578E-09,3.33288E-08,3.33281E-09,3.33316E-09,3.3315E-09,0,6.66587E-09,3.33305E-09,3.33287E-09,9.99852E-09,3.33287E-08,4.16653E-09,4.16654E-09,4.16608E-09,4.16637E-09,4.16363E-09,4.16586E-09,4.16706E-09,4.16628E-09,3.33282E-08,1.11097E-08,1.11098E-08,1.11073E-08,4.75877E-09,4.77264E-09,4.75785E-09,4.75544E-09,4.77399E-09,4.75737E-09,4.75682E-09,3.3329E-08,3.33351E-08,1.11076E-08,1.11095E-08,1.11098E-08,6.66642E-09,6.6657E-09,6.66544E-09,6.66437E-09,6.66156E-09,1.11129E-08,1.11058E-08,1.11089E-08,3.33279E-08,3.33273E-08,2.77666E-09,2.77717E-09,2.77732E-09,2.77731E-09,2.78075E-09,2.77773E-09,2.77716E-09,2.7772E-09,2.77874E-09,2.77686E-09,2.77717E-09,1.22644E-09,8.33207E-08,1.66609E-08,1.11085E-08,1.11099E-08,4.44368E-08,1.67496E-08,3.33265E-08,3.3328E-08
7,6.00107E-08,4.00198E-08,7.04035E-09,2.63024E-08,3.33429E-08,3.33383E-08,212104.0032,0.000100057,0.000200093,52.99732915,12925.35929,3.33276E-08,3.33294E-08,3.33408E-08,834.9840922,6.89254E-09,1.72427E-08,3.44912E-09,6.89871E-09,1.3791E-08,6.89473E-09,3.44915E-09,6.89773E-09,1.72392E-08,1.7243E-08,9.99988E-08,1.00017E-07,2.50069E-08,2.49957E-08,4.99916E-08,3.75189E-08,6.24794E-08,9.99903E-08,25352.72294,170.9939267,0.000399655,0.000399806,6.99756E-08,3.00273E-08,1.0006E-07,1.11138E-08,1.11121E-08,2.22145E-08,3.33054E-08,2.22247E-08,0,0,0,0,129.9780304,0.000299558,0.000399897,0.000400077,1.50034E-08,1.49992E-08,5.00037E-09,1.50016E-08,4.50126E-08,4.98571E-09,1.43254E-08,1.43475E-08,2.85852E-08,4.27557E-08,2.14219E-08,2.85814E-08,5.00017E-08,4.54882E-08,9.05496E-09,9.10388E-09,3.6357E-08,8.74232E-08,1.25435E-08,4.54341E-08,5.45492E-08,1361.959751,1.05923E-07,1.022E-07,1.0672E-07,9.6169E-08,1.00007E-07,9.99164E-08,1.00034E-07,1.0001E-07,9.9993E-08,9.99658E-08,4.99978E-08,5.00106E-08,1.00008E-07,1.99994E-08,1.00024E-07,6.00007E-08,3.33367E-08,1.86662E-07,1.00003E-07,1.00006E-07,1.00001E-07,6.66758E-08,3.33398E-08,1.50218E-07,2.50042E-08,5.00176E-08,2.49814E-08,1.00003E-07,9.99922E-05,0.000100003,9.9953E-05,115.0041436,0.000199992,945.9941459,9.9994E-05,0.000299979,1.00002E-07,1.25016E-08,1.25017E-08,1.25003E-08,1.25012E-08,1.24929E-08,1.24996E-08,1.25032E-08,1.25009E-08,1.00001E-07,3.33346E-08,3.33347E-08,3.33272E-08,1.42786E-08,1.43202E-08,1.42759E-08,1.42686E-08,1.43243E-08,1.42744E-08,1.42728E-08,1.00003E-07,1.00021E-07,3.33283E-08,3.33339E-08,3.33349E-08,2.00025E-08,2.00003E-08,1.99996E-08,1.99963E-08,1.99879E-08,3.3344E-08,3.33229E-08,3.33322E-08,1E-07,9.9998E-08,8.33133E-09,8.33286E-09,8.33332E-09,8.33328E-09,8.34359E-09,8.33455E-09,8.33283E-09,8.33297E-09,8.33758E-09,8.33194E-09,8.33287E-09,3.67991E-09,2.50003E-07,4.99909E-08,3.3331E-08,3.33351E-08,1.33332E-07,5.02569E-08,9.99956E-08,1E-07
8,1.19998E-08,8.00243E-09,1.4078E-09,5.25946E-09,6.6673E-09,6.66639E-09,0,27800.70611,0.000199978,9.99671E-05,5639.241851,6.66424E-09,6.66459E-09,6.66688E-09,3386.253759,1.37824E-09,3.44789E-09,6.89692E-10,1.37948E-09,2.75766E-09,1.37868E-09,6.89697E-10,1.37928E-09,3.44718E-09,3.44795E-09,1.99959E-08,1.99995E-08,5.00042E-09,4.99818E-09,9.99639E-09,7.50235E-09,1.24935E-08,1.99942E-08,0.000302747,0.00109874,0.000399713,0.000399864,1.39924E-08,6.0043E-09,0.001200649,2.22232E-09,2.22199E-09,4.44205E-09,6.6598E-09,4.44409E-09,1.19998E-08,4.99763E-09,1.99947E-09,9.983E-10,1.21398E-08,2.13952E-09,2.85617E-09,2.85746E-09,3.0001E-09,2.99926E-09,9.99882E-10,2.99974E-09,9.0008E-09,9.9695E-10,2.86453E-09,2.86895E-09,5.71595E-09,8.5495E-09,4.28356E-09,5.71518E-09,9.99842E-09,9.0959E-09,1.81064E-09,1.82043E-09,7.27001E-09,1.74813E-08,2.50821E-09,9.08507E-09,1.09077E-08,81.15931645,2.11805E-08,2.0436E-08,2.134E-08,1.92301E-08,1.99975E-08,1.99794E-08,2.0003E-08,1.99982E-08,1.99948E-08,1.99893E-08,9.99764E-09,1.00002E-08,1.99978E-08,3.99911E-09,2.00009E-08,1.19978E-08,6.66607E-09,3.73252E-08,1.99968E-08,1.99974E-08,1.99964E-08,1.33326E-08,6.66669E-09,3.00379E-08,4.99988E-09,1.00016E-08,4.99532E-09,1.99967E-08,9.99716E-05,9.99823E-05,9.99324E-05,1.998517504,0.000199951,7.998303215,9.99734E-05,0.000299918,1.99966E-08,2.49984E-09,2.49985E-09,2.49957E-09,2.49975E-09,2.4981E-09,2.49944E-09,2.50016E-09,2.49969E-09,1.99963E-08,6.66563E-09,6.66566E-09,6.66416E-09,2.85518E-09,2.8635E-09,2.85463E-09,2.85318E-09,2.86431E-09,2.85434E-09,2.85401E-09,1.99968E-08,2.00004E-08,6.66438E-09,6.66551E-09,6.66569E-09,3.99973E-09,3.9993E-09,3.99915E-09,3.9985E-09,3.99682E-09,6.66753E-09,6.6633E-09,6.66516E-09,1.99962E-08,1.99958E-08,1.66595E-09,1.66625E-09,1.66634E-09,1.66634E-09,1.6684E-09,1.66659E-09,1.66625E-09,1.66627E-09,1.6672E-09,1.66607E-09,1.66625E-09,7.3584E-10,4.9991E-08,9.99627E-09,6.66492E-09,6.66573E-09,2.66613E-08,1.00494E-08,1.99953E-08,1.99962E-08
9,2.40027E-08,1.60069E-08,2.81595E-09,1.05202E-08,1.33363E-08,1.33344E-08,0,0.000200023,27315.39461,0.000399859,352.0561818,1.33302E-08,1.33308E-08,1.33354E-08,1813.82488,2.75683E-09,6.89663E-09,1.37956E-09,2.7593E-09,5.51601E-09,2.7577E-09,1.37957E-09,2.75891E-09,6.89521E-09,6.89675E-09,3.99969E-08,4.0004E-08,1.00021E-08,9.9976E-09,1.99953E-08,1.50066E-08,2.49901E-08,3.99935E-08,0.000807779,0.002197755,0.000799527,0.000799829,2.79884E-08,1.20101E-08,0.002401598,4.4452E-09,4.44454E-09,8.8852E-09,1.33213E-08,8.88928E-09,2.40025E-08,9.99651E-09,3.99943E-09,1.99685E-09,2.42826E-08,4.27958E-09,5.71306E-09,5.71562E-09,6.00095E-09,5.99927E-09,2.00001E-09,6.00022E-09,1.80038E-08,1.99415E-09,5.72977E-09,5.73861E-09,1.14333E-08,1.71011E-08,8.56818E-09,1.14318E-08,1.99993E-08,1.81941E-08,3.62174E-09,3.64131E-09,1.45418E-08,3.4967E-08,5.01705E-09,1.81724E-08,2.18182E-08,4.010387603,4.23664E-08,4.08772E-08,4.26853E-08,3.8465E-08,3.99999E-08,3.99639E-08,4.00111E-08,4.00013E-08,3.99945E-08,3.99837E-08,1.99978E-08,2.00029E-08,4.00007E-08,7.99923E-09,4.00069E-08,2.39987E-08,1.33338E-08,7.46597E-08,3.99986E-08,3.99997E-08,3.99979E-08,2.66685E-08,1.3335E-08,6.00833E-08,1.0001E-08,2.00057E-08,9.99189E-09,3.99984E-08,0.000199968,0.00019999,0.00019989,0.000799325,0.000399952,67.99389649,0.000199972,0.00059991,3.99982E-08,5.00031E-09,5.00033E-09,4.99977E-09,5.00012E-09,4.99683E-09,4.99951E-09,5.00095E-09,5.00001E-09,3.99977E-08,1.33329E-08,1.3333E-08,1.333E-08,5.71107E-09,5.72771E-09,5.70997E-09,5.70708E-09,5.72934E-09,5.70939E-09,5.70872E-09,3.99986E-08,4.00059E-08,1.33304E-08,1.33327E-08,1.3333E-08,8.00046E-09,7.9996E-09,7.99929E-09,7.998E-09,7.99464E-09,1.33367E-08,1.33283E-08,1.3332E-08,3.99973E-08,3.99965E-08,3.33231E-09,3.33292E-09,3.3331E-09,3.33309E-09,3.33721E-09,3.3336E-09,3.33291E-09,3.33296E-09,3.33481E-09,3.33255E-09,3.33293E-09,1.47186E-09,9.99944E-08,1.9995E-08,1.33315E-08,1.33331E-08,5.33293E-08,2.01014E-08,3.99956E-08,3.99974E-08
10,2.40105E-08,1.60121E-08,2.81687E-09,1.05237E-08,1.33407E-08,1.33388E-08,0,0.000200089,0.00020004,28062.29269,31.01264609,1.33345E-08,1.33352E-08,1.33398E-08,4494.073519,2.75774E-09,6.8989E-09,1.38001E-09,2.76021E-09,5.51782E-09,2.75861E-09,1.38002E-09,2.75981E-09,6.89748E-09,6.89902E-09,4.001E-08,4.00171E-08,1.00054E-08,1.00009E-08,2.00019E-08,1.50115E-08,2.49983E-08,4.00066E-08,95.99776196,2143.009386,0.000799789,0.000800092,2.79976E-08,1.2014E-08,189.1166192,4.44666E-09,4.446E-09,8.88812E-09,1.33257E-08,8.8922E-09,2.40104E-08,9.9998E-09,4.00075E-09,1.9975E-09,2.42906E-08,4.28099E-09,5.71494E-09,5.7175E-09,6.00292E-09,6.00124E-09,2.00067E-09,6.00219E-09,1.80098E-08,1.9948E-09,5.73165E-09,5.7405E-09,1.14371E-08,1.71068E-08,8.571E-09,1.14356E-08,2.00059E-08,1.82E-08,3.62293E-09,3.6425E-09,1.45466E-08,3.49784E-08,5.0187E-09,1.81784E-08,2.18254E-08,337.8328378,4.23803E-08,4.08906E-08,4.26993E-08,3.84777E-08,4.00131E-08,3.9977E-08,4.00242E-08,4.00145E-08,4.00077E-08,3.99968E-08,2.00044E-08,2.00095E-08,4.00138E-08,8.00186E-09,4.002E-08,2.40066E-08,1.33382E-08,7.46842E-08,4.00118E-08,4.00129E-08,4.0011E-08,2.66773E-08,1.33394E-08,6.0103E-08,1.00043E-08,2.00123E-08,9.99517E-09,4.00115E-08,0.000200034,0.000200055,0.000199955,0.000799588,0.000400083,28.00732238,0.000200037,0.000600107,4.00114E-08,5.00195E-09,5.00197E-09,5.00141E-09,5.00177E-09,4.99847E-09,5.00115E-09,5.0026E-09,5.00166E-09,4.00108E-08,1.33373E-08,1.33374E-08,1.33344E-08,5.71294E-09,5.72959E-09,5.71184E-09,5.70895E-09,5.73122E-09,5.71126E-09,5.7106E-09,4.00117E-08,4.0019E-08,1.33348E-08,1.33371E-08,1.33374E-08,8.00309E-09,8.00223E-09,8.00192E-09,8.00063E-09,7.99727E-09,1.33411E-08,1.33326E-08,1.33364E-08,4.00105E-08,4.00097E-08,3.3334E-09,3.33402E-09,3.3342E-09,3.33419E-09,3.33831E-09,3.33469E-09,3.334E-09,3.33406E-09,3.3359E-09,3.33365E-09,3.33402E-09,1.47235E-09,1.00027E-07,2.00016E-08,1.33359E-08,1.33375E-08,5.33468E-08,2.0108E-08,4.00087E-08,4.00105E-08
