SECTORNUMBER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
1,24060.87937,7719.985981,8.22684E-05,0.00030735,0.000784965,143.0168584,0.000623455,3.18616423,5.654032063,7.793578359,12.60182275,0.000631791,0.000616092,0.000593123,1143.016708,7355.502388,24956.90161,3259.946476,7691.671378,48.23016744,0.000969565,0.000549251,2330.158456,19903.10307,10535.70088,1837.052532,0.001256258,0.000567097,0.000647775,0.00128714,0.001941408,0.003064439,0.001257379,0.002454814,11648.18898,78.2000684,0.002628021,0.004214601,0.00190842,0.00751272,0.000593893,0.000645938,0.001769129,0.001810977,0.001546892,0.007536497,0.002924526,0.001367547,0.000700441,0.010686821,0.001982034,0.00281635,0.002257586,0.001748066,0.001829369,0.000531491,0.002092172,0.005494366,0.00074621,0.001314254,0.001325445,0.002472535,0.003684745,0.001873104,0.002607863,0.004383265,0.003300071,0.00042535,0.001181476,0.00170721,0.004457558,0.000575058,0.003638605,140.3579198,41.28110804,599.4816156,709.6532848,130.1120549,286.7986945,0.000633292,0.00062488,0.000629059,0.000631354,0.00063077,0.000631496,30.17543062,0.000722311,0.000633072,0.000657687,0.001279405,0.001929985,0.000577249,0.004936413,1.058181936,0.001265767,0.000629571,0.001258817,0.000634865,5.282414523,0.000556614,0.001194176,0.000719129,1.062257948,13.030124,13.83150798,0.00075278,0.001902578,8.218183027,121.7206889,26.31944905,0.001970318,4.224359715,1.209881121,0.000474258,0.000741069,0.943720845,0.000468654,0.000758228,954.7172871,0.965314836,0.000627246,27.26132453,138.2190405,0.000416766,0.000570527,0.000923517,0.000871679,0.000569925,0.000805474,0.000791645,0.000455774,0.000640447,0.001270216,0.000761127,0.000473208,0.000592597,0.000560017,0.000928009,0.000488292,0.000802006,0.000560046,12.5281422,10.42887272,17.9949737,22.12724699,501.2463443,0.00055739,0.000677277,0.000583877,0.000526071,0.000549992,0.000603834,0.000729026,0.000520563,15.93779471,0.000714681,4.320232399,48.58305645,192.2625259,0.001112965,500.4866925,96.6529449,1279.491379,0.000539498,0,0,59538.53194
2,820.8561183,51235.61263,6.40794E-05,0.000239397,0.000611415,679.5691385,0.000485614,0.000495039,0.000878355,0.001037852,0.000979453,0.000492107,0.000479878,0.000461988,0.005880997,1.070715349,0.002065157,52.66407415,179.6338036,37407.31038,92916.68169,358.3463288,848.9057563,2992.970561,3.652268413,342.7253898,0.000978509,0.000441716,0.000504557,0.001002563,0.001512177,0.002386914,0.000979382,0.001912072,0.004295078,0.003061043,0.002046984,0.003282783,0.001486482,0.005851712,0.000462588,0.000503126,0.001377987,0.001410583,0.001204886,0.005870232,0.002277935,0.001065192,0.000545579,0.008324042,0.001543821,0.002193676,0.00175845,0.001361581,0.001424909,0.000413982,0.001629608,0.004279601,0.000581229,0.001023682,0.001032399,0.001925875,0.002870074,0.001458974,0.002031283,0.003414156,0.002570449,0.000331308,0.00092026,0.001329759,0.003472024,0.000447917,0.002834136,11.0949869,859.7143168,0.000515832,125.5032286,34.01302937,0.002850986,0.000493276,0.000486724,0.000489978,0.000491766,0.000491311,0.000491877,15.87943933,0.000562614,0.000493104,0.000512277,0.000996538,0.001503279,0.000449624,0.003845008,0.000984133,0.000985915,0.000490378,0.000980502,0.000494501,0.002049827,0.000433551,0.000930153,0.000560134,0.000494247,0.000673925,0.000495267,0.000586345,0.001481932,0.001092869,719.2607295,0.000583414,0.001534695,29.55955875,0.000562933,0.000369403,0.000577224,0.000439094,0.000365038,14.76725386,0.000424914,0.000449141,0.000488566,6.686664702,66.64372458,0.000324622,0.000444387,0.000719334,0.000678957,0.000443919,0.000627389,0.000616618,0.000355006,0.000498849,0.000989381,0.000592847,0.000368585,0.000461578,0.000436201,0.000722833,0.000380334,0.000624688,0.000436224,95.62051422,55.83508768,287.7226979,23.33322467,3163.110207,0.000434155,0.000527536,0.000454786,0.000409761,0.000428393,0.000470331,0.000567843,0.00040547,0.000618604,0.00055667,1.2573829,56.60613249,13.60467901,0.000866897,66.71470277,86.90619532,307.9704581,0.000420219,0,0,9070.468058
3,9.34055E-05,5.31791E-05,71.58719429,267.4458896,1.90743E-05,0.64235743,1.51497E-05,11.89167521,2.7402E-05,3.23779E-05,3.0556E-05,1.53522E-05,1.49708E-05,1.44126E-05,0.000183469,2.67085E-05,6.44267E-05,6.134108765,2.89206E-05,5.01179E-05,2.356E-05,1.33466E-05,3.25468E-05,90.17833812,23.67373429,8.84808E-05,8.081312465,1145.547537,274.9890158,232.532928,463.0421373,7.44645E-05,3.366271213,5.96509E-05,28.62569852,9.54953E-05,12.60852916,0.000102413,274.3753271,0.15213213,1.44313E-05,1.5696E-05,4.2989E-05,4.40059E-05,3.75888E-05,0.000183133,7.10647E-05,3.32308E-05,1.70204E-05,0.000259685,4.81625E-05,6.8436E-05,5.48583E-05,4.24772E-05,4.44528E-05,1.2915E-05,5.08388E-05,0.000133511,1.81326E-05,3.19358E-05,3.22077E-05,6.00815E-05,8.95376E-05,4.55156E-05,6.33699E-05,0.000106511,8.01902E-05,1.03358E-05,2.87093E-05,4.14844E-05,14.11285111,1.39737E-05,8.84165E-05,27.54569699,0.000153705,1.60924E-05,1.56623E-05,1.63254E-05,8.89421E-05,1.53887E-05,1.51843E-05,1.52858E-05,1.53416E-05,1.53274E-05,1.53451E-05,1.41517E-05,1.75518E-05,1.53834E-05,1.59815E-05,3.1089E-05,4.68978E-05,1.40269E-05,0.000119953,3.0702E-05,3.07576E-05,1.52983E-05,3.05887E-05,1.54269E-05,6.39484E-05,1.35255E-05,2.90179E-05,1.74745E-05,1.5419E-05,2.10244E-05,1.54508E-05,1.82922E-05,4.62318E-05,3.40942E-05,2.347717798,1.82008E-05,4.78778E-05,1.53679E-05,1.75618E-05,1.15243E-05,1.80076E-05,1.36984E-05,1.13881E-05,1.84246E-05,0.26512073,1.40118E-05,1.52418E-05,2.08607E-05,0.69306556,1.01272E-05,1.38635E-05,2.2441E-05,2.11814E-05,1.38489E-05,1.95726E-05,1.92366E-05,1.10751E-05,1.55626E-05,3.08657E-05,1.8495E-05,1.14987E-05,1.43998E-05,1.36082E-05,2.25502E-05,1.18653E-05,1.94884E-05,1.36089E-05,2.02213E-05,1.51446E-05,1.45341E-05,1.53252E-05,4.59261E-05,1.35443E-05,1.64575E-05,1.41879E-05,1.27833E-05,1.33646E-05,1.46729E-05,1.7715E-05,1.26494E-05,1.92986E-05,1.73664E-05,1.5687E-05,33.45166221,4.43526E-05,2.70446E-05,8.08782463,9.43094E-06,12.64019012,1.31096E-05,0,0,1488.731358
4,0.000579308,0.000329821,443.9892179,1658.719727,0.0001183,3.983949587,9.39594E-05,73.7530731,0.000169949,0.00020081,0.00018951,9.52158E-05,9.28498E-05,8.93881E-05,0.001137891,0.000165648,0.000399579,38.0442086,0.000179368,0.000310835,0.000146121,8.27764E-05,0.000201858,559.2929044,146.8262987,0.000548764,50.12091389,7104.772861,1705.502769,1442.186887,2871.822516,0.000461834,20.87786982,0.000369959,177.5387571,0.000592269,78.1990558,0.000635173,1701.696625,0.943535029,8.95042E-05,9.73479E-05,0.000266621,0.000272928,0.000233129,0.001135808,0.000440748,0.0002061,0.000105562,0.001610586,0.000298708,0.000424446,0.000340235,0.000263447,0.0002757,8.00998E-05,0.000315306,0.000828043,0.00011246,0.000198068,0.000199755,0.00037263,0.000555319,0.000282291,0.000393025,0.000660591,0.000497346,6.41036E-05,0.000178057,0.00025729,87.52897484,8.66656E-05,0.000548366,170.8405055,0.00095329,9.98062E-05,9.7139E-05,0.000101252,0.000551626,9.5442E-05,9.41742E-05,9.4804E-05,9.51499E-05,9.50618E-05,9.51713E-05,8.77701E-05,0.000108858,9.54087E-05,9.91184E-05,0.000192816,0.000290864,8.69959E-05,0.000743955,0.000190416,0.000190761,9.48812E-05,0.000189713,9.5679E-05,0.000396613,8.38861E-05,0.000179972,0.000108378,9.56298E-05,0.000130395,9.58272E-05,0.00011345,0.000286733,0.000211455,14.56072416,0.000112882,0.000296942,9.53132E-05,0.00010892,7.14743E-05,0.000111685,8.49585E-05,7.06297E-05,0.000114271,1.644298909,8.69025E-05,9.45308E-05,0.00012938,4.298445257,6.28098E-05,8.59828E-05,0.000139181,0.000131369,8.58921E-05,0.000121391,0.000119307,6.86887E-05,9.65203E-05,0.000191431,0.000114708,7.1316E-05,8.93088E-05,8.43988E-05,0.000139858,7.35894E-05,0.000120868,8.44033E-05,0.000125414,9.3928E-05,9.01416E-05,9.50479E-05,0.000284837,8.40029E-05,0.000102071,8.79947E-05,7.9283E-05,8.2888E-05,9.10024E-05,0.00010987,7.84528E-05,0.000119691,0.000107708,9.72921E-05,55.53339168,0.000275078,0.000167732,50.16130284,5.84914E-05,78.39541949,8.13065E-05,0,0,-1719.217081
5,0.000658181,0.000374726,1.40865E-05,5.26265E-05,0.000134407,0.000150879,0.000106752,0.000108824,0.000193088,0.00022815,0.000215312,0.000108179,0.000105491,0.000101558,0.001292814,338.7961663,0.000453982,0.000102914,436.0306611,0.000353155,918.0025541,4898.873575,0.000229341,0.000543198,0.000802096,0.000623479,0.000215105,9.7102E-05,0.000110916,0.000220392,0.00033242,0.000524713,0.000215297,0.000420329,12.02237049,0.000672906,0.000449987,0.000721651,0.000326772,0.001286376,0.00010169,0.000110602,0.000302922,0.000310087,0.000264869,0.001290448,0.000500756,0.00023416,0.000119934,0.001829867,0.000339377,0.000482234,0.000386558,0.000299315,0.000313236,9.10053E-05,0.000358235,0.000940781,0.000127771,0.000225035,0.000226951,0.000423363,0.000630926,0.000320725,0.000446535,0.000750531,0.00056506,7.28312E-05,0.0002023,0.00029232,0.000763252,9.84651E-05,0.000623025,0.000531815,0.00108308,0.000113395,748.2713123,0.000115037,0.00062673,0.000108436,0.000106996,0.000107712,0.000108105,0.000108004,0.000108129,0.997199231,0.000123679,0.000108399,0.000112613,0.000219068,0.000330465,9.88403E-05,0.000845245,0.000216341,0.000216733,0.000107799,0.000215543,0.000108706,0.000450612,9.53071E-05,0.000204475,0.000123134,0.00010865,0.000148148,0.000108874,0.000128896,0.000325772,0.000240244,15.03923951,0.000128251,0.000337371,0.00010829,0.000123749,8.12055E-05,0.000126891,9.65256E-05,8.02459E-05,0.000129829,9.34085E-05,9.87342E-05,0.000107401,64.67760718,15.87195223,7.13613E-05,9.76893E-05,0.00015813,0.000149255,9.75862E-05,0.000137918,0.000135551,7.80406E-05,0.000109662,0.000217495,0.000130325,8.10256E-05,0.000101468,9.58897E-05,0.0001589,8.36085E-05,0.000137325,9.58948E-05,34.19733067,23.47758008,157.7180776,396.3181676,4857.668643,9.54399E-05,0.000115968,9.99752E-05,9.00774E-05,9.41732E-05,0.000103392,0.000124829,8.91341E-05,38.07639819,0.000122372,88.43069982,49.75939229,7.297375266,0.000190569,80.45753351,166.1374648,128.6549898,9.23764E-05,0,0,-4237.713735
6,21337.42145,2976.986275,412.2848874,1540.274062,11.94883596,0.000149036,0.000105448,0.000107495,0.000190729,0.000225363,0.000212682,0.000106858,0.000104203,0.000100318,0.001277021,0.000185902,0.000448436,0.000101657,0.000201299,0.000348841,0.000163987,9.28975E-05,0.000226539,0.000536563,0.000792298,0.000615862,0.000212477,9.59158E-05,0.000109561,0.0002177,0.00032836,0.000518303,0.000212667,0.000415194,0.000932649,0.000664686,0.00044449,0.000712836,0.00032278,0.001270662,0.000100448,0.000109251,0.000299221,0.000306299,0.000261633,0.001274684,0.000494639,0.0002313,0.000118469,0.001807513,0.000335231,0.000476343,0.000381836,0.000295659,0.00030941,8.98936E-05,0.000353859,0.000929288,0.00012621,0.000222286,0.000224179,0.000418192,0.000623219,0.000316807,0.00044108,0.000741363,0.000558157,7.19415E-05,0.000199829,0.000288749,0.000753928,9.72623E-05,0.000615415,0.000525318,0.00106985,0.00011201,0.000109016,0.000113632,0.000619074,0.000107112,0.000105689,0.000106396,0.000106784,0.000106685,0.000106808,9.85018E-05,0.000122168,0.000107074,0.000111238,0.000216392,0.000326428,9.76329E-05,0.000834919,0.000213698,0.000214085,0.000106482,0.00021291,0.000107378,0.000445107,9.41429E-05,0.000201977,0.00012163,0.000107323,0.000146339,0.000107544,0.000127321,0.000321792,0.00023731,181.9801588,0.000126685,0.000333249,22.46310986,0.000122237,8.02135E-05,0.000125341,9.53464E-05,7.92657E-05,0.000128243,9.22674E-05,9.75281E-05,0.000106089,0.000145199,0.0001206,7.04896E-05,9.64959E-05,0.000156199,0.000147431,9.63942E-05,0.000136234,0.000133895,7.70873E-05,0.000108322,0.000214838,0.000128733,8.00359E-05,0.000100229,9.47184E-05,0.000156959,8.25872E-05,0.000135647,9.47233E-05,0.000140748,0.000105413,0.000101163,0.000106669,0.000319664,9.4274E-05,0.000114551,9.87539E-05,8.8977E-05,9.30228E-05,0.000102129,0.000123304,8.80453E-05,0.000134326,0.000120877,0.000109188,49.18605869,53.65361369,0.000188241,0.000165572,6.56432E-05,3060.657787,9.12479E-05,0,0,71.19945838
7,0.00062814,0.000357623,1.34436E-05,5.02245E-05,0.000128272,0.000143993,16393.46719,0.000103857,0.000184275,0.000217737,4.106542207,5192.039711,3672.678739,214.2000351,0.001233809,0.000179612,0.000433261,9.8217E-05,0.000194488,0.000337037,0.000158438,8.9754E-05,0.000218873,0.000518406,0.000765487,0.000595022,0.000205287,0.926701303,0.000105854,2.10317665,0.000317248,0.000500765,0.00020547,284256.5838,4062.385653,8.026909221,3.221798292,0.000688714,0.000311858,0.001227665,9.7049E-05,0.000105554,1.932820695,0.000295934,0.00025278,0.00123155,0.000477901,0.000223473,0.00011446,0.00174635,0.000323887,0.000460224,0.000368916,0.000285654,0.00029894,8.68517E-05,0.000341885,0.000897843,0.000121939,0.000214764,0.000216593,0.000404041,0.00060213,0.000306087,0.000426155,0.000716276,0.00053927,6.95071E-05,0.000193067,0.000278978,0.000728416,9.39711E-05,0.00059459,0.000507542,2.068072922,4.328773476,0.000105327,1.097865523,3.987667463,0.000103487,0.000102113,0.000102795,0.000103171,0.000103075,7.223560377,9.51686E-05,0.000118034,77.5883888,1.074735892,0.000209069,1.051564769,0.943291746,7.566953941,0.000206467,0.000206841,0.000102879,0.000205705,0.000103744,34.03294396,9.09572E-05,0.000195142,0.000117514,0.000103691,2.82773486,1.039049455,0.000123013,0.000310903,0.000229279,0.717641673,0.000122398,0.000321973,2.066951453,0.000118101,7.74992E-05,0.000121099,9.212E-05,7.65834E-05,0.000123903,8.91452E-05,9.42279E-05,2.049984332,0.000140286,8.156367864,119.1825028,9.32307E-05,0.000150913,0.000142442,9.31323E-05,0.000131624,0.000129364,7.44787E-05,0.000104656,0.000207568,0.000124377,7.73276E-05,9.68371E-05,9.15132E-05,0.000151647,7.97926E-05,0.000131057,9.1518E-05,0.000135986,1.018456347,20.52540892,0.00010306,0.000308847,9.10839E-05,0.000110675,9.54122E-05,8.59661E-05,8.98751E-05,9.86734E-05,1.191312166,8.5066E-05,0.000129781,0.000116787,1.054932919,47.48622369,635.6413317,0.000181871,0.00015997,6.34219E-05,17165.37544,8.81602E-05,0,0,-119297
8,0.000617833,375.5636659,1.3223E-05,4.94004E-05,0.000126167,0.00014163,79.16420594,2314.784923,78.83916698,63.18573989,17.17399759,2885.987403,9.90244E-05,9.53326E-05,0.001213562,55.64948539,148.2993103,145.8738868,134.8553353,138.4348556,123.8854975,41.49210702,143.157866,129.5293464,249.9629962,52.65545632,0.000201918,3.645975557,4.164672535,5.172176526,1308.390666,228.465151,0.000202098,1520.727763,371.4310713,20.52776767,12.67321827,130.6212128,49.07853605,1302.767742,1450.93664,45.681511,149.7621254,75.67904331,114.3707012,4.039544362,3.760138773,3.297104826,3.377456432,0.001717692,0.000318572,0.000452672,0.000362862,0.000280966,0.000294034,8.54265E-05,0.000336275,0.000883109,0.000119938,2.099699098,0.000213039,0.99329277,3.939430438,7.024286944,3.142920501,23.14833264,19.09380781,1.36733037,2.848197317,0.0002744,8.18825664,9.2429E-05,0.000584833,0.000499213,14.23376576,0.000106443,0.000103599,0.000107985,0.00058831,0.000101789,0.000100437,0.000101109,0.000101478,0.000101384,0.0001015,9.36069E-05,0.000116097,3.052605711,0.00010571,0.000205639,0.000310206,9.27812E-05,0.973936081,0.000203079,0.000203447,0.000101191,0.000202329,0.000102042,0.000422988,8.94646E-05,0.00019194,0.000115585,0.000101989,0.000139067,16.35197405,0.000120994,0.000305801,0.000225517,57.88092857,0.000120389,0.000316689,36.59458017,0.000116163,5.335920931,0.000119112,9.06083E-05,7.53267E-05,0.00012187,8.76823E-05,9.26816E-05,14.11440482,16.55801497,3.438222731,6.69867E-05,9.17007E-05,0.000148437,0.000140105,9.1604E-05,0.000129464,0.000127241,7.32565E-05,24.70536525,11.22817361,1.223358111,0.7605859,2.857439639,9.00115E-05,0.000149159,7.84831E-05,0.000128906,1.800323727,0.000133754,3.005229626,5.768166148,17.23267095,904.2727099,5.375352972,0.000108859,2.815394189,8.45554E-05,8.84002E-05,9.70542E-05,7.030574503,8.367E-05,0.000127651,0.000114871,9.338590708,46.70795612,3136.211783,0.000178887,461.0190324,235.8007202,5168.47496,8.67135E-05,0,0,3527.616955
9,0.001324714,0.000754208,2.83518E-05,0.000105921,0.000270519,0.000303672,0.000214859,0.000219029,4034.106427,0.000459196,0.000433357,0.000217732,0.000212321,0.000204406,0.002602035,0.000378791,0.000913725,0.000207134,0.000410164,0.000710793,0.000334137,0.000189286,0.000461592,0.00109329,0.001614371,0.00125487,0.000432939,0.000195436,0.00022324,0.000443582,0.00066906,0.001056085,0.000433325,25.3694861,2327.519936,0.001354352,136.9242228,0.001452461,0.000657691,118.8915319,3471.687859,143.5614671,248.0119035,2887.531089,0.000533099,125.5923977,0.001007868,0.000471292,432.1747517,80.16384872,0.00068306,35.19863597,0.000778023,0.000602429,3.15296606,1.832111818,0.000721017,0.001893501,0.000257163,0.000452926,0.000456783,56.47097357,2.113128568,0.00064552,0.000898737,40.99662143,2.27604156,0.000146587,0.000407167,0.000588349,0.00153619,0.00019818,32.60664709,17.81954728,8.719913739,0.000228229,0.00022213,0.000231534,1.052178414,0.000218249,0.00021535,0.00021679,0.000217581,0.00021738,0.00021763,0.000200705,0.000248927,0.000218173,0.000226656,19.84458166,212.8799534,30.84117095,576.196253,0.000435428,0.000436216,0.000216967,0.000433821,0.000218791,0.000906942,0.000191824,0.000411544,0.00024783,0.000218678,0.000298177,357.2195913,0.000259427,0.000655678,0.000483538,224.7500133,0.00025813,0.000679023,3.269532595,0.000249068,0.000163442,0.000255392,0.000194276,0.00016151,452.1479323,491.724255,0.000198722,64.8625846,0.000295855,0.000245733,290.1868013,0.000196618,0.000318268,0.000300403,0.000196411,0.000277587,0.000272821,0.000157072,5.519077168,28.46080232,0.000262304,0.00016308,0.000204224,247.0846111,6.397755206,13.46501387,2.764609094,0.000193007,2.86857472,0.000214787,901.9913156,163.0433031,27.14590921,8.645912032,122.5633732,50.31489494,0.000181298,833.2012742,0.000208097,0.000251241,17.04643184,0.0002737,18.4761193,198.04634,50.07159231,2.143687664,0.000383557,0.000337367,0.000133753,0.000829007,0.000185925,0,0,7658.401404
10,860.8304479,77.07765832,2.66481E-05,9.9556E-05,0.000254264,0.000285425,0.000201948,205.8389876,0.000365274,1001.295865,71.24713544,454.3734661,10.97766965,130.6604275,13498.59573,177.1686069,0.000858819,0.000194688,0.000385517,0.000668081,0.000314059,0.000177912,0.000433855,0.001027595,0.001517363,0.001179465,0.000406924,0.000183692,0.000209826,0.000416927,312.3638628,0.000992625,0.000407287,1556.716942,1469.720184,0.001272969,510.7185611,0.001365182,0.00061817,7865.51469,123.1364405,0.000209231,0.000573052,0.000586607,266.8549402,6.106501591,0.000947305,0.000442972,0.000226885,1.022228042,0.000642015,7.98265622,0.000731271,0.000566229,1.976059223,0.000172159,0.000677691,0.00177972,0.00024171,0.00042571,17.18932085,0.000800897,0.001193553,0.000606731,0.000844732,0.001419815,138.9658648,0.000137778,0.0003827,0.000552995,8.24258307,0.000186271,33.01918669,0.00100606,0.002048915,0.000214514,0.000208782,0.000217621,0.001185615,0.000205134,94.10670621,0.000203763,5.112015609,1.021538535,0.000204553,1.886266782,0.000233969,0.000205063,0.000213036,0.000414421,18.75574969,1.869629047,1.962573409,0.000409263,0.000410004,0.000203929,0.000407753,0.000205644,16.20339277,0.000180297,0.000386814,0.000232938,0.000205538,0.000280259,197.723524,0.000243838,0.000616278,0.000454482,146.5334341,0.000242619,0.00063822,9.2196411,0.000234102,0.00015362,0.000240045,0.000182602,0.000151805,0.000245603,0.000176705,0.00018678,0.000203176,0.000278077,0.000230967,0.000134998,0.000184804,0.000299143,0.000282352,0.000184609,0.000260907,0.000256427,0.000147633,0.000207452,0.000411445,0.000246542,0.00015328,62.39377487,0.000181399,0.000300598,0.000158166,0.000259784,0.000181409,0.000269553,0.00020188,0.000193742,0.000204287,0.000612203,0.000180548,0.000219382,0.000189128,0.000170404,0.000178152,0.000195592,0.000236144,0.000168619,0.000257253,0.000231498,0.000209111,47.06578516,150.1239388,0.000360509,0.000317095,0.000125716,1095.737599,2.62099416,0,0,-1300.018358
